name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r
manga-10216-12704,118.16230011,18.3216056824,3.617,0.18,0.27,3.9446E10,10.596002970384388,0.607331,4.00841,18.316315,9.05259227752686,-0.600428521633148,0.192795329434382,0.109375873194754,0.877449653688907,14.9428
manga-10216-12705,117.894285161,16.621269888,3.08,0.149,0.16,2.03909E9,9.30943639480255,0.245445,1.515,16.400448,8.25012302398682,-0.742085993289948,-0.243488922733266,-0.410162494566217,0.550222858798522,16.2829
manga-10216-1901,117.038289628,18.5706939566,2.977,0.065,0.0,1.49327E10,10.174138340148707,0.50646,6.0,5.193908,9.49464511871338,-0.0669233426451683,-0.758788411132349,-2.24325328050919,0.199049194298246,16.25162
manga-10216-1902,116.767280449,18.1383425062,2.916,0.146,0.21,9.66632E9,9.985261168201355,0.543573,3.31496,4.744846,9.20311069488525,-0.329242378473282,-1.3099603701257,-2.38635350164364,0.0894317318200273,16.24551
manga-10216-3701,117.186922861,17.966051805,3.524,0.117,0.19,1.96781E10,10.293983163234014,0.833059,6.0,11.03955,9.40507125854492,-0.310584247112274,-1.26474452487567,-1.8715799905668,0.382994260244028,15.9508
manga-10216-3702,117.003225435,18.622145951,3.188,0.034,-0.02,1.4918E10,10.17371060281591,0.7696,4.12239,7.2757673,9.1491117477417,-0.210170939564705,0.0434547223113854,-3.35479860744813,0.17724952548154,15.95619
manga-10216-3703,117.094733328,18.5028826591,2.783,0.112,0.3,1.42427E10,10.153592326656822,0.700554,3.64859,4.8205686,9.3056640625,-0.198426470160484,-0.596114530014045,-3.32399749246454,0.237693149376996,16.0536
manga-10216-3704,117.23952599,17.5771207096,3.769,0.106,0.1,2.73118E10,10.436350323512368,0.52258,4.67197,12.699185,9.51998233795166,-0.174231216311455,-0.836831925545232,-0.379590122760047,0.330993081912113,14.34911
manga-10216-6101,117.700436207,16.3893864476,3.79,0.087,0.11,3.5253E10,10.54719608098719,0.671854,4.84412,14.67988,9.43519115447998,-0.0097651332616806,-0.231012041671725,0.150232409796399,0.33239527237161,14.79797
manga-10216-6102,116.730202777,18.482375517,2.693,0.106,-0.08,2.95677E10,10.470817543120724,0.579676,1.08162,14.821093,9.28264045715332,-0.198835998773575,-0.211379533136732,0.152128553043836,0.52008505893399,14.99237
manga-10216-6103,116.346578955,18.2366261774,2.706,0.143,0.23,1.30717E10,10.116332072095345,0.457473,1.23423,6.8292675,8.78027725219727,-0.216377571225166,0.650532484630598,0.521512049847991,0.458325308275062,15.95931
manga-10216-6104,117.43276891,18.9185959989,3.439,0.184,0.54,2.94153E10,10.468573282017369,0.199797,1.18294,17.396822,8.73187923431396,-0.27230966091156,0.987343141927594,0.780698118485283,0.513403716693407,15.33558
manga-10216-9101,116.67274471,18.7348410457,4.059,0.053,0.03,1.37119E11,11.1370976373091,0.905229,3.50914,22.272913,9.72846031188965,0.0784157663583755,-0.0610134135883394,-2.7923526191299,0.0521627027114504,13.70735
manga-10216-9102,116.446792381,18.312577531,3.643,0.093,0.05,2.88666E10,10.46039563430696,0.834307,4.14329,11.156693,9.201828956604,-0.391822844743729,-0.417175911114307,-0.799486237045879,0.301250072332095,15.63866
manga-10217-12701,118.002740625,15.7585152922,2.701,0.523,1.08,1.11116E10,10.045776599097493,0.692199,1.06148,14.736518,8.1924467086792,-0.785476207733154,0.596182409272065,0.409309708017376,0.658496240678091,16.28209
manga-10217-12702,118.300437995,15.2413143621,2.978,0.184,0.53,1.25693E10,10.099311091957842,0.208738,0.761479,13.634327,8.55457019805908,-0.295007556676865,0.793413311637344,0.260528543325044,0.596613877435658,16.11878
manga-10217-12703,119.85175,16.4189444444,-999.0,-999.0,-999.0,-9999.0,,-9999.0,-9999.0,,,,,,,20.14682
manga-10217-12704,119.917160034,15.3868169785,-999.0,-999.0,-999.0,-9999.0,,-9999.0,-9999.0,,,,,,,13.42889
